Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
LTC-USD,true,7,48,56,47.27272727272727,1.8999388501568006,14.397905759162303,8378.588846360031,5000.994260912782,0.4397905759162304,1,3684.8244141059827,1.846670661391332,0,0,3820,3821 days 00:00:00,1000.0,381236.51911608916,38023.65191160891,1963.4409157596374,100.0,22693.328381121395,62.66292092826832,1394 days 00:00:00,55,1,-80585.86743371288,900.4446272554633,-23.301878935988235,69.91629236238762,-7.815607498611279,53 days 01:50:46.153846154,17 days 01:39:18.620689655,1.0817827455767937,1.2196712456902097,1.2977303002140823,18.365824357845728,34 days 02:10:54.545454545
BTC-USD,true,10,35,57,50.877192982456144,2.9796820218051616,14.921465968586388,7504.198705371619,4995.908229012327,0.4476439790575916,1,3359.2093681113793,2.221592459143482,0,0,3820,3821 days 00:00:00,1000.0,428739.3262061823,42773.93262061823,18142.17853544015,100.0,11182.924531662136,50.37449847153977,962 days 00:00:00,57,0,0.0,227.45783591841806,-17.858532736465808,40.39360661176371,-7.031639196592905,61 days 04:08:16.551724138,13 days 08:34:17.142857143,1.4215312322141571,1.556707653764927,1.343422901296498,1.3577065200334544,37 days 16:25:15.789473683
SOL-USD,false,4,5,103,39.80582524271845,1.6555749555469277,57.60626398210291,6027.9275726975775,3635.5550232509663,1.7281879194630874,4,10417.391610534405,3.27637884553137,0,0,1788,1789 days 00:00:00,1000.0,621876.5399878499,62087.65399878499,14251.940951757664,100.0,42338.592477002654,63.84031512593115,713 days 00:00:00,103,0,0.0,453.79418955903833,-25.79606203267747,41.58112080387612,-6.84263464835118,15 days 20:29:16.097560975,3 days 22:03:52.258064516,1.85670173906646,4.253140832686131,1.4796908309285972,3.3564349732397565,8 days 16:04:39.611650484
BTC-USD,false,5,68,42,42.857142857142854,3.404302257045387,10.99476439790576,10574.476570511742,4369.618417566835,0.3298429319371728,1,3487.916355718533,2.1659421035598583,0,0,3820,3821 days 00:00:00,1000.0,445128.01596149325,44412.80159614932,18142.17853544015,100.0,11947.66612708756,60.73733099174874,736 days 00:00:00,42,0,0.0,357.96391275742644,-13.451918910389582,70.41813507153536,-5.922103263293529,109 days 14:40:00,11 days 05:00:00,1.3968692723942857,1.3016518434989677,1.3325164022047549,1.4480412597302121,53 days 09:08:34.285714285
SOL-USD,false,3,6,107,38.31775700934579,1.6828158950278826,59.84340044742729,5369.119332549984,3117.1607566489574,1.7953020134228188,4,9639.190748034369,3.2374482442973287,0,0,1788,1789 days 00:00:00,1000.0,575495.7685828484,57449.57685828483,14251.940951757664,100.0,40606.55580811747,64.53811673106046,713 days 00:00:00,107,0,0.0,470.02583068602445,-25.796062032677476,41.71068539351876,-6.453384200292485,15 days 19:54:08.780487805,3 days 18:54:32.727272727,1.8390615332965672,4.116836234943612,1.4722540021045818,3.031000202200507,8 days 09:38:41.495327102
BTC-USD,true,26,38,54,55.55555555555556,3.049770578449054,14.136125654450263,5347.629742830657,3682.9405942359895,0.42408376963350786,1,2267.8429799438914,2.074114509492157,0,0,3820,3821 days 00:00:00,1000.0,289772.00611285545,28877.20061128555,18142.17853544015,100.0,7544.510742377268,67.09803713121846,817 days 00:00:00,54,0,0.0,267.5713900491202,-25.20796837568079,38.11385336508345,-8.145965879360856,53 days 22:24:00,23 days 05:00:00,1.3316902491387088,1.071043784849965,1.318662547854422,0.5917162624584961,40 days 06:40:00
BTC-USD,true,27,29,137,52.55474452554745,1.9830965068323143,35.86387434554974,4623.055913117275,3681.265491533331,1.0759162303664922,3,4974.02089081466,2.353886750295518,0,0,3820,3821 days 00:00:00,1000.0,634358.6600970665,63335.866009706646,18142.17853544015,100.0,45612.78857281152,64.84165645822193,752 days 00:00:00,137,0,0.0,217.46231727195834,-24.03378449670691,18.66673755979252,-5.121136716157977,21 days 18:00:00,9 days 07:23:04.615384615,1.4804243976689633,1.3143075647216558,1.356802369007836,2.491083823587234,15 days 20:19:16.204379561
LTC-USD,true,17,30,65,50.0,1.3544237182587442,16.753926701570684,4872.315160903625,3579.294884043067,0.5104712041884817,2,2487.1765873722693,1.76101635537962,0,0,3820,3821 days 00:00:00,1000.0,249770.02188324503,24877.002188324503,1963.4409157596374,100.0,25918.398726051288,71.23647660210922,1394 days 00:00:00,64,1,-63058.14841458661,569.187659944391,-28.19248411190684,55.50091614042575,-10.235819847555682,42 days 03:45:00,18 days 00:00:00,1.0340087240464526,0.9748277994706651,1.2814635742815177,11.670104808679621,30 days 01:52:30
BTC-USD,true,12,21,91,47.25274725274725,1.7850898175596865,23.82198952879581,4908.01919226718,3513.8998546035423,0.7146596858638743,2,3507.563454159529,2.2332391028321332,0,0,3820,3821 days 00:00:00,1000.0,447629.7464963134,44662.974649631346,18142.17853544015,100.0,23344.88869618496,74.60946590642689,1471 days 00:00:00,91,0,0.0,279.9719701589274,-23.518263900830256,31.56679282154205,-6.758474170160376,37 days 15:37:40.465116279,11 days 10:30:00,1.4312155849129733,1.0609209737739247,1.3435796903256094,1.4618308414495915,23 days 19:46:48.791208790
BTC-USD,false,8,37,50,42.0,2.5438466998172693,13.089005235602095,7110.309755572442,3427.8352816120587,0.39267015706806285,1,2792.00644852321,2.115447487106072,0,0,3820,3821 days 00:00:00,1000.0,356515.48777862225,35551.54877786223,18142.17853544015,100.0,9592.344578774842,58.39175539176592,825 days 00:00:00,50,0,0.0,367.25692907461206,-23.717899192117393,61.63241789659219,-7.362698612962068,85 days 01:08:34.285714286,12 days 03:18:37.241379310,1.3746285021049196,1.28959802661109,1.3327030113372043,0.9596074808994653,42 days 18:14:23.999999999
