Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
34,42,0,1824,1825 days 00:00:00,1000.0,3754.217975601362,275.4217975601362,1038.250346822019,100.0,85.24011096641458,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.64896599480124,32.68311657484034,-11.108936135570364,132 days 21:00:00,21 days 20:00:00,2.068069386650095,196.72985540009728,0.7528133251923419,0.5889775171793357,1.12981213801658,1.1288870186176512
35,41,0,1824,1825 days 00:00:00,1000.0,3754.217975601362,275.4217975601362,1038.250346822019,100.0,85.24011096641458,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.64896599480124,32.68311657484034,-11.108936135570364,132 days 21:00:00,21 days 20:00:00,2.068069386650095,196.72985540009728,0.7528133251923419,0.5889775171793357,1.12981213801658,1.1288870186176512
36,40,0,1824,1825 days 00:00:00,1000.0,3754.217975601362,275.4217975601362,1038.250346822019,100.0,85.24011096641458,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.64896599480124,32.68311657484034,-11.108936135570364,132 days 21:00:00,21 days 20:00:00,2.068069386650095,196.72985540009728,0.7528133251923419,0.5889775171793357,1.12981213801658,1.1288870186176512
30,40,0,1824,1825 days 00:00:00,1000.0,3732.825450132083,273.28254501320833,1038.250346822019,100.0,126.94258194624022,52.22767359745,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.31943393661211,36.992586792365024,-10.15496551352872,125 days 18:00:00,18 days 10:39:59.999999999,1.6763697928143624,160.7544382430637,0.7522183279998497,0.577069956802201,1.1309129046951487,1.1302355400771136
31,39,0,1824,1825 days 00:00:00,1000.0,3732.825450132083,273.28254501320833,1038.250346822019,100.0,126.94258194624022,52.22767359745,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.31943393661211,36.992586792365024,-10.15496551352872,125 days 18:00:00,18 days 10:39:59.999999999,1.6763697928143624,160.7544382430637,0.7522183279998497,0.577069956802201,1.1309129046951487,1.1302355400771136
28,50,0,1824,1825 days 00:00:00,1000.0,3728.7276081760197,272.87276081760194,1038.250346822019,100.0,83.30741383658969,51.42444825369957,631 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801234,34.29298800696114,-12.528433117035199,132 days 21:00:00,21 days 16:00:00,1.9794943942573124,194.90911486971575,0.7505215910172516,0.5855276403728712,1.1294069345134083,1.1253770592135615
33,37,0,1824,1825 days 00:00:00,1000.0,3721.2890323282363,272.12890323282363,1038.250346822019,100.0,128.4699236571697,53.94253210222837,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.319433936612132,36.52152080905371,-9.819323236692599,125 days 18:00:00,18 days 10:39:59.999999999,1.6910872950879854,160.07582543107281,0.7512669269951939,0.5572315718006571,1.1309081715679734,1.1287341193080134
34,36,0,1824,1825 days 00:00:00,1000.0,3721.2890323282363,272.12890323282363,1038.250346822019,100.0,128.4699236571697,53.94253210222837,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.319433936612132,36.52152080905371,-9.819323236692599,125 days 18:00:00,18 days 10:39:59.999999999,1.6910872950879854,160.07582543107281,0.7512669269951939,0.5572315718006571,1.1309081715679734,1.1287341193080134
37,41,0,1824,1825 days 00:00:00,1000.0,3718.4576193146104,271.845761931461,1038.250346822019,100.0,87.25307796663682,49.90192870139881,617 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.64896599480124,33.32963529962612,-12.007811851985672,133 days 03:00:00,22 days 00:00:00,1.9491111081561994,194.175544236758,0.7494860528938385,0.6019543776246842,1.1291221940167848,1.1230774530129153
20,45,0,1824,1825 days 00:00:00,1000.0,3703.311486780021,270.3311486780021,1038.250346822019,100.0,130.1535252393923,50.95444642608985,497 days 00:00:00,20,20,0,0.0,40.0,117.65173743027187,-16.775691345353312,40.335578921530804,-9.347590422189313,119 days 15:00:00,16 days 12:00:00,1.6242714380823884,135.165574339001,0.7505592243732733,0.5874379572410146,1.1313170777141714,1.128604696985408
