Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Mean Avg Winning Trade [%],8,27,3,0,3486,145 days 07:00:00,1000.0,634.9876519123802,-36.50123480876198,75.20772197369439,100.0,367.60347996877624,36.77746398157085,137 days 08:00:00,223,223,0,0.0,24.663677130044842,2.234072499632168,-1.9439748463365862,0.25061759021266056,-0.35124923335650415,0 days 01:00:00,0 days 01:00:00,0.24414141640919398,-1.6368266730386556,-11.104706281835504,-1.850241054236161,0.30872459925979323,-13.315213518289646,-0.6116691603283466,-1.4853389233292975,1535.2839931153185,32.24096385542169,65,-52.772869603029434,0
Least Worst Trade [%],2,11,14,0,3486,145 days 07:00:00,1000.0,586.6286461442724,-41.337135385572765,75.20772197369439,100.0,468.326079598531,42.498785668296975,142 days 03:00:00,285,285,0,0.0,27.017543859649123,2.234072499632191,-3.9338903668843113,0.32233185507652684,-0.37397279898564745,0 days 01:00:00,0 days 01:00:00,0.3384071484245673,-1.4504258030025552,-9.480351053925798,-1.736827230883007,0.39465708155529683,-11.271555341199885,-0.5937415567846717,-1.5496395090923158,1962.1342512908777,41.20481927710843,83,-59.76453308757516,0
Median Avg Losing Trade [%],3,13,4,0,3486,145 days 07:00:00,1000.0,564.1311966962849,-43.586880330371514,75.20772197369439,100.0,508.5662290898111,43.58688033037153,145 days 06:00:00,337,336,1,-0.5641311966961666,27.380952380952383,2.4625152627922655,-1.9439748463365885,0.2797972801015808,-0.3384898064270514,0 days 01:00:00,0 days 01:00:00,0.305295090238662,-1.2955496193661273,-11.175053484866913,-1.7496850791231875,0.3921394430559491,-14.267921457425562,-0.5374754914397715,-1.5795532584488734,2313.253012048193,48.722891566265055,98,-63.122923623091786,1
Most Best Trade [%],3,24,3,0,3486,145 days 07:00:00,1000.0,519.4933571697077,-48.050664283029235,75.20772197369439,100.0,529.1926043343263,48.19491372026919,143 days 12:00:00,363,362,1,-0.5194933571696083,26.795580110497237,2.4625152627922913,-1.9439748463365916,0.2981444621927638,-0.35460400765933414,0 days 01:00:00,0 days 01:00:00,0.3021231357795758,-1.3259313521356995,-11.992005485536685,-1.6745186538204972,0.38374240950478067,-15.212992224231296,-0.5383196934420008,-1.638905992922323,2492.2547332185886,52.48192771084337,105,-69.58743337232659,1
Mean Best Trade [%],4,7,4,0,3486,145 days 07:00:00,1000.0,503.99471776377396,-49.600528223622604,75.20772197369439,100.0,524.9962086301671,49.600528223622625,145 days 06:00:00,351,351,0,0.0,24.786324786324787,1.4748066639955846,-1.9439748463365805,0.24921106063755413,-0.34068041632720897,0 days 01:00:00,0 days 01:00:00,0.2559779909908765,-1.4131204622114724,-14.238617871656958,-1.6555689428564246,0.3213321551695965,-16.56052905380426,-0.5306979202814388,-1.6595137696229054,2416.5232358003445,50.74698795180723,102,-71.71160707029784,0
Least Sharpe Ratio,3,5,3,0,3486,145 days 07:00:00,1000.0,365.65163823297235,-63.43483617670277,75.20772197369439,100.0,599.527279715674,63.43483617670282,145 days 06:00:00,470,469,1,-0.3656516382329187,23.02771855010661,1.7189088643929658,-2.6293635957374315,0.23150826886523093,-0.3467045784445742,0 days 01:00:00,0 days 01:00:00,0.2047360299496284,-1.3517755013407133,-18.183359652107224,-1.4505238131123417,0.2774115382696698,-20.748631332425486,-0.47164099678489707,-1.8434617418526589,3228.9156626506024,67.95180722891567,136,-91.855588283875,1
Most Total Fees Paid,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Most Total Trades,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Most Max Drawdown Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Most Avg Winning Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Least Avg Winning Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Most Avg Losing Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Least Avg Losing Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,361.60191125880374,-63.83980887411963,75.20772197369439,100.0,765.123750102149,63.90713491600355,145 days 06:00:00,604,603,1,-0.3616019112587878,26.69983416252073,2.024058503120981,-2.6293635957374266,0.2609688176026013,-0.32398401987980097,0 days 01:00:00,0 days 01:00:00,0.29053839801979525,-1.0581036265836439,-16.347114569859187,-1.4432518111894002,0.3792176340806298,-20.562609690143272,-0.4280483538870462,-1.8488464641496394,4151.462994836489,87.32530120481928,175,-92.39921789732833,1
Least Sortino Ratio,2,12,2,0,3486,145 days 07:00:00,1000.0,359.0847162064515,-64.09152837935484,75.20772197369439,100.0,677.576719308153,64.09152837935494,145 days 06:00:00,533,532,1,-0.3590847162064392,23.872180451127818,2.0240585031209872,-2.6293635957374235,0.2544308578101264,-0.331465389038889,0 days 01:00:00,0 days 01:00:00,0.23830742022370058,-1.2040530057844787,-17.49550309078537,-1.4412073838740622,0.3212208837610209,-20.985743672196797,-0.4355056155577261,-1.8521934543074219,3662.6506024096384,77.06024096385542,155,-92.78461475900633,1
Least Total Return [%],2,9,2,0,3486,145 days 07:00:00,1000.0,343.12680851562834,-65.68731914843717,75.20772197369439,100.0,690.1522518444374,65.68731914843714,145 days 06:00:00,548,547,1,-0.3431268085155921,24.131627056672762,2.0240585031209744,-2.6293635957374453,0.261560854333311,-0.3396653329634343,0 days 01:00:00,0 days 01:00:00,0.24403513516089914,-1.2002377782008358,-17.43943934244801,-1.4187320226130422,0.3242300856179272,-20.858241566288644,-0.4388437945889711,-1.8734118974034712,3765.92082616179,79.2289156626506,159,-95.09353770420117,1
Most Max Drawdown [%],2,9,2,0,3486,145 days 07:00:00,1000.0,343.12680851562834,-65.68731914843717,75.20772197369439,100.0,690.1522518444374,65.68731914843714,145 days 06:00:00,548,547,1,-0.3431268085155921,24.131627056672762,2.0240585031209744,-2.6293635957374453,0.261560854333311,-0.3396653329634343,0 days 01:00:00,0 days 01:00:00,0.24403513516089914,-1.2002377782008358,-17.43943934244801,-1.4187320226130422,0.3242300856179272,-20.858241566288644,-0.4388437945889711,-1.8734118974034712,3765.92082616179,79.2289156626506,159,-95.09353770420117,1
Most Calmar Ratio,2,9,2,0,3486,145 days 07:00:00,1000.0,343.12680851562834,-65.68731914843717,75.20772197369439,100.0,690.1522518444374,65.68731914843714,145 days 06:00:00,548,547,1,-0.3431268085155921,24.131627056672762,2.0240585031209744,-2.6293635957374453,0.261560854333311,-0.3396653329634343,0 days 01:00:00,0 days 01:00:00,0.24403513516089914,-1.2002377782008358,-17.43943934244801,-1.4187320226130422,0.3242300856179272,-20.858241566288644,-0.4388437945889711,-1.8734118974034712,3765.92082616179,79.2289156626506,159,-95.09353770420117,1
