Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
AAPL_SMA_13_37_0_1990-05-17,AAPL,SMA,13,37,0,1990-05-17 00:00:00,1990-06-05 00:00:00,0.3705359995365143,0.3526790142059326,14284.773056254631,Long,-265.41394525841423,-0.05014411654350779,19.0,Big Loser,Closed,0.024094827326195143,0.06626620419242965,0.3636065717032238,-2.0811154138877215,,,
AAPL_SMA_13_37_0_1990-06-29,AAPL,SMA,13,37,0,1990-06-29 00:00:00,1990-08-01 00:00:00,0.3995540142059326,0.3783479928970337,12583.715060608123,Long,-276.6394269228266,-0.05502115492367749,33.0,Big Loser,Closed,0.06703720975194095,0.1061458476917102,0.6315575334293216,-0.8207554450322934,,,
AAPL_SMA_13_37_0_1990-11-02,AAPL,SMA,13,37,0,1990-11-02 00:00:00,1991-04-23 00:00:00,0.28348198533058167,0.549107015132904,16761.244269859682,Long,4438.250781092318,0.9340714913262375,172.0,Big Winner,Closed,1.307088346740675,0.03937110685710387,33.19917703824556,0.714620012989494,,,
AAPL_SMA_13_37_0_1991-07-16,AAPL,SMA,13,37,0,1991-07-16 00:00:00,1991-09-18 00:00:00,0.390625,0.44754499197006226,23514.439081878652,Long,1318.7325865046125,0.14356946426391604,64.0,Big Winner,Closed,0.26857215881347657,0.03428611755371108,7.833262497357525,0.5345657006973127,,,
AAPL_SMA_13_37_0_1991-10-22,AAPL,SMA,13,37,0,1991-10-22 00:00:00,1991-12-03 00:00:00,0.48660698533058167,0.45089301466941833,21583.625501300558,Long,-791.0716168224523,-0.07532047785188221,42.0,Big Loser,Closed,0.03211016338309931,0.12844040855175973,0.250000476837158,-2.345689648266504,,,
AAPL_SMA_13_37_0_1991-12-27,AAPL,SMA,13,37,0,1991-12-27 00:00:00,1992-03-16 00:00:00,0.4910709857940673,0.5658479928970337,19778.12145936499,Long,1458.0448569170057,0.1501210420832927,80.0,Big Winner,Closed,0.2727284202901296,0.009090336412906535,30.002016196332136,0.5504415048625784,,,
AAPL_SMA_13_37_0_1992-05-12,AAPL,SMA,13,37,0,1992-05-12 00:00:00,1992-06-03 00:00:00,0.5558040142059326,0.483258992433548,20095.302634347732,Long,-1478.6944527059877,-0.13239214345033523,22.0,Big Loser,Closed,0.016063217786806944,0.1325305281246529,0.12120390685909381,-8.241944123989382,,,
AAPL_SMA_13_37_0_1992-09-04,AAPL,SMA,13,37,0,1992-09-04 00:00:00,1992-10-02 00:00:00,0.421875,0.390625,22973.23291350045,Long,-736.5792802891078,-0.07599999999999996,28.0,Big Loser,Closed,0.058202107747395836,0.08994604040075231,0.6470780424360851,-1.305794634274228,,,
AAPL_SMA_13_37_0_1992-10-26,AAPL,SMA,13,37,0,1992-10-26 00:00:00,1993-02-05 00:00:00,0.4598209857940674,0.5111610293388367,19477.121478186997,Long,981.0443301550036,0.10954058880686753,102.0,Big Winner,Closed,0.266990826125709,0.0582508999916521,4.583462678928073,0.4102784743446272,,,
AAPL_SMA_13_37_0_1993-05-07,AAPL,SMA,13,37,0,1993-05-07 00:00:00,1993-06-11 00:00:00,0.48883900046348566,0.390625,20325.819860934043,Long,-2014.1559080900988,-0.20271186294464041,35.0,Big Loser,Closed,0.07990975884175285,0.21917853233443357,0.3645875259344402,-2.5367597885769553,,,
AAPL_SMA_13_37_0_1993-10-21,AAPL,SMA,13,37,0,1993-10-21 00:00:00,1993-12-13 00:00:00,0.2700890004634857,0.26339301466941833,29338.14293250106,Long,-212.09915991223295,-0.02676698346394766,53.0,Loser,Closed,0.15702601536432423,0.09917101811902733,1.5833861378317,-0.1704620944615081,,,
AAPL_SMA_13_37_0_1994-01-12,AAPL,SMA,13,37,0,1994-01-12 00:00:00,1994-03-25 00:00:00,0.2723209857940674,0.2924109995365143,28319.603812268902,Long,552.9482436844565,0.07169951188367692,72.0,Big Winner,Closed,0.26229713438224755,0.05737714247192034,4.5714569091796875,0.27335225012099706,,,
AAPL_SMA_13_37_0_1994-07-19,AAPL,SMA,13,37,0,1994-07-19 00:00:00,1994-09-27 00:00:00,0.24720999598503116,0.30245500802993774,33430.76093003754,Long,1828.5070709094846,0.22125054783061243,70.0,Big Winner,Closed,0.3498847678074632,0.047405054447919454,7.380748147686584,0.6323526148825193,,,
AAPL_SMA_13_37_0_1994-10-12,AAPL,SMA,13,37,0,1994-10-12 00:00:00,1994-11-23 00:00:00,0.376116007566452,0.329241007566452,26829.750563134945,Long,-1276.5691104209227,-0.12650447217864394,42.0,Big Loser,Closed,0.03857584399936642,0.13649778108530827,0.2826115098182975,-3.279370172191739,,,
AAPL_SMA_13_37_0_1995-01-03,AAPL,SMA,13,37,0,1995-01-03 00:00:00,1995-02-07 00:00:00,0.342633992433548,0.36439698934555054,25729.510334312617,Long,541.7596930006194,0.06145323113061286,35.0,Big Winner,Closed,0.25244142132710856,0.013028481009080096,19.37612075814299,0.2434356089723603,,,
AAPL_SMA_13_37_0_1995-02-16,AAPL,SMA,13,37,0,1995-02-16 00:00:00,1995-02-24 00:00:00,0.38560301065444946,0.3482140004634857,24265.949863438615,Long,-925.0866135382472,-0.09886548120404763,8.0,Big Loser,Closed,0.001447055304671493,0.10853911794779843,0.01333210857091588,-68.32184014313941,,,
AAPL_SMA_13_37_0_1995-04-24,AAPL,SMA,13,37,0,1995-04-24 00:00:00,1995-08-01 00:00:00,0.3482140004634857,0.38839301466941833,24217.46644712805,Long,955.1951727371539,0.11327059549099232,99.0,Big Winner,Closed,0.2852584656974253,0.044871831629981984,6.357183456420895,0.39708057467832997,,,
AAPL_SMA_13_37_0_1995-11-09,AAPL,SMA,13,37,0,1995-11-09 00:00:00,1995-12-18 00:00:00,0.3515630066394806,0.2879459857940674,26701.051098007858,Long,-1715.716886581011,-0.18277386591968767,39.0,Big Loser,Closed,0.07936271250694168,0.19047798681252578,0.4166503113299537,-2.303019392182454,,,
AAPL_SMA_13_37_0_1996-04-25,AAPL,SMA,13,37,0,1996-04-25 00:00:00,1996-04-26 00:00:00,0.2220979928970337,0.22098200023174286,34548.25872429221,Long,-53.863245573049866,-0.007019751228199448,1.0,Breakeven,Closed,0.010049619101139629,0.030148790210687282,0.33333407512906416,-0.698509183039923,,,
